note_id,day,datetime,lock,due,duration_sec,price_in,in0,in1,note0,note1,premium_ratio,q_old,q_new,new_x,new_y,price,invest_usd,side
0,1,2025-02-03 03:43:54+00:00,5,20128,504966,2862.6976188716285,0.0,52.75,0.01889123427456708,54.08487382370035,0.025305664904272034,0.0,0.9858588069328107,100.00921333773645,286296.13688716287,2862.6976188716285,52.75,Single
1,1,2025-02-03 07:57:37+00:00,3,20126,316943,2862.6976188716285,0.0,11.2,0.003990758077103227,11.424557105470132,0.020049741559833405,0.0,0.2093273796072026,100.0111695345639,286301.7368871629,2862.6976188716285,11.2,Single
2,1,2025-02-03 23:39:41+00:00,7,20130,606019,2862.6976188716285,0.0,10.17,0.003651021822380256,10.451957110437766,0.027724396306564977,0.0,0.19007690764556173,100.01294583114742,286306.82188716286,2862.6976188716285,10.17,Single
3,1,2025-02-03 10:07:43+00:00,19,20142,1691537,2862.6976188716285,0.0118,33.78,0.024693081679854633,70.68882612761294,0.04631441696650165,0.0,1.2627018650528044,100.02474586050737,286340.60180311423,2862.6976188716285,67.55983190268522,Dual
4,1,2025-02-03 12:23:17+00:00,14,20137,1251403,2862.6976188716285,0.0,36.13,0.013122929170822816,37.56934812333333,0.039838032752098566,0.0,0.6752530028697947,100.03105634188022,286358.66680311423,2862.6976188716285,36.13,Single
5,1,2025-02-03 12:15:18+00:00,25,20148,2202282,2862.6976188716285,0.0086,24.62,0.018109274251896845,51.841376280370625,0.05284766574843134,0.0,0.9202869119053503,100.03965648169202,286383.2864028753,2862.6976188716285,49.239199522296005,Dual
6,1,2025-02-03 12:31:22+00:00,28,20151,2460518,2862.6976188716285,0.0057,0.0,0.006018421544225588,17.228430212009506,0.05586342881150657,0.0,0.30496950015549373,100.042506481692,286391.4450910892,2862.6976188716285,16.317376427568284,Single
7,1,2025-02-03 16:43:37+00:00,24,20147,2099783,2862.6976188716285,0.0405,115.94,0.08517879999851227,243.84114793421875,0.051586738296105,0.0,4.333852789399316,100.08300661206478,286507.3847178713,2862.6976188716285,231.87925356430094,Dual
8,1,2025-02-03 10:40:27+00:00,18,20141,1603173,2862.6976188716285,0.0,78.81,0.02876728133953,82.36335374816301,0.045087599900558516,0.0,1.472867661015698,100.09677160063367,286546.78971787135,2862.6976188716285,78.81,Single
9,1,2025-02-03 02:31:56+00:00,23,20146,2064484,2862.6976188716285,0.0293,83.88,0.06159888814044489,176.33899040461358,0.05115701945956133,0.0,3.135400453382317,100.12607211758788,286630.6682379878,2862.6976188716285,167.75704023293872,Dual
10,1,2025-02-03 08:28:32+00:00,3,20126,315088,2862.6976188716285,0.0,155.75,0.05547897900259864,158.86268801310882,0.019985155782400187,0.2093273796072026,3.119919384129389,100.15327547971968,286708.5432379878,2862.6976188716285,155.75,Single
11,1,2025-02-03 13:16:59+00:00,27,20150,2371381,2862.6976188716285,0.0232,0.0,0.024472228073477185,70.04847608159044,0.054837416960223415,0.0,1.241225173294879,100.16487547971967,286741.7505303667,2862.6976188716285,66.41458475782177,Single
12,1,2025-02-03 23:35:39+00:00,9,20132,779061,2862.6976188716285,0.0113,0.0,0.011655194581418239,33.36341587211865,0.03143314879807441,0.0,0.6045802192547853,100.17052547971969,286757.9247719133,2862.6976188716285,32.3484830932494,Single
13,1,2025-02-03 08:54:47+00:00,24,20147,2127913,2862.6976188716285,0.0,38.37,0.014098225876695656,40.36165774270363,0.05190663911137938,4.333852789399316,5.0509689896953205,100.17722720045803,286777.1097719133,2862.6976188716285,38.37,Single
14,1,2025-02-03 23:18:06+00:00,30,20153,2594514,2862.6976188716285,0.0142,0.0,0.01501453962031557,42.97904076020935,0.05736194509264579,0.0,0.759732479469676,100.18432720045803,286797.43492500734,2862.6976188716285,40.65030618797713,Single
